"package","version","in_repository_production_resolution","in_packaged_application","packaged_instance_count","declared_licence","collected_direct_text_count","technical_classification"
"iconv-lite","0.6.3","true","false","0","MIT","0","NOT_SHIPPED"
"ieee754","1.2.1","true","true","1","BSD-3-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"import-fresh","3.3.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"inflight","1.0.6","true","false","0","ISC","0","NOT_SHIPPED"
"inherits","2.0.4","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ini","1.3.8","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ioredis","5.11.1","true","false","0","MIT","0","NOT_SHIPPED"
"ip-address","10.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ipaddr.js","1.9.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"is-arrayish","0.2.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"is-callable","1.2.7","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"is-fullwidth-code-point","3.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"is-stream","2.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"is-typed-array","1.1.15","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"isarray","1.0.0","true","true","2","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"isarray","2.0.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"isexe","2.0.0","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"iterare","1.2.1","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"jackspeak","3.4.3","true","true","1","BlueOak-1.0.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"js-tokens","4.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"js-yaml","4.1.0","true","false","0","MIT","0","NOT_SHIPPED"
"js-yaml","4.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"json-parse-even-better-errors","2.3.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
